PF01280,138
PF01281,0
PF09299,0
PF09298,229
PF01286,0
PF01288,1006
PF09292,0
PF09291,0
PF09290,106
PF09296,18
PF09294,24
PF01110,6
PF01111,0
PF01112,53
PF01113,96
PF01114,0
PF01115,96
PF01116,860
PF01117,5
PF01118,157
PF01119,125
PF11791,173
PF02700,0
PF02709,0
PF09125,0
PF01739,20
PF09127,234
PF09126,8
PF09121,0
PF09123,26
PF09122,0
PF01733,7
PF01734,109
PF09128,7
PF00441,49
PF00733,78
PF00884,57
PF00731,700
PF00730,52
PF00736,9
PF00883,781
PF13495,0
PF00889,103
PF00888,404
PF08501,0
PF08502,53
PF05543,3
PF01609,91
PF04898,570
PF04231,14
PF04234,28
PF01424,0
PF01425,34
PF07498,0
PF01423,0
PF07764,0
PF09293,2
PF08720,1
PF08721,0
PF08722,6
PF08723,2
PF08724,9
PF05946,2
PF08726,0
PF08727,0
PF04096,214
PF04092,296
PF00085,32
PF00086,0
PF00080,462
PF04098,34
PF00082,43
PF00646,0
PF07965,0
PF00067,50
PF00064,3
PF00062,13
PF00061,155
PF00060,43
PF06560,4
PF11799,851
PF00069,38
PF00068,143
PF11798,0
PF00505,0
PF00564,0
PF06964,272
PF06969,0
PF00398,11
PF00463,6
PF00390,48
PF00393,396
PF00392,0
PF00466,35
PF00465,219
PF06002,3
PF07140,7
PF07145,0
PF00583,223
PF09267,5
PF06368,32
PF00266,35
PF07541,189
PF00262,110
PF06815,2
PF06360,0
PF06817,0
PF00268,320
PF06144,21
PF06384,0
PF03288,1
PF03519,0
PF01862,97
PF03513,0
PF03515,5
PF02357,55
PF01056,23
PF01738,12
PF09124,0
PF02353,12
PF02249,14
PF02248,10
PF02244,0
PF02247,10
PF02350,94
PF02241,16
PF02240,20
PF03607,0
PF03604,0
PF03603,49
PF01329,12
PF03869,0
PF09129,14
PF00728,32
PF01735,14
PF03463,269
PF03460,0
PF03466,361
PF03467,98
PF03464,21
PF03465,17
PF06831,0
PF03261,10
PF02391,558
PF02645,41
PF02996,35
PF02025,10
PF02024,8
PF05738,10
PF02020,2
PF02022,0
PF05735,34
PF05737,11
PF05044,20
PF02803,21
PF02801,85
PF02800,47
PF02807,0
PF02806,14
PF02809,0
PF00885,710
PF00289,97
PF00732,20
PF00288,0
PF00887,5
PF09288,0
PF09289,0
PF00886,7
PF02580,992
PF09280,0
PF09281,9
PF09282,0
PF09284,59
PF09285,0
PF09286,88
PF09287,2
PF01128,6
PF01124,187
PF01127,71
PF00734,0
PF01121,11
PF01120,121
PF05138,69
PF00632,88
PF02733,351
PF02732,154
PF02735,238
PF02734,138
PF02737,60
PF02736,0
PF02739,884
PF05426,54
PF09130,0
PF09131,3
PF09136,0
PF09137,70
PF09134,11
PF01239,0
PF04399,45
PF00637,126
PF00720,0
PF00721,7
PF00890,62
PF00891,9
PF00724,8
PF00725,5
PF00726,3
PF00727,13
PF01381,0
PF00729,10
PF01383,0
PF01382,39
PF08535,0
PF01630,130
PF01634,731
PF08533,0
PF08532,18
PF01411,22
PF01413,151
PF01412,123
PF08710,5
PF01417,63
PF01416,268
PF01419,35
PF05958,8
PF00092,130
PF00091,88
PF00095,0
PF01256,9
PF01255,1380
PF01706,340
PF00658,0
PF00659,0
PF01702,622
PF00656,115
PF00657,66
PF01709,852
PF00651,84
PF00652,85
PF00074,166
PF00075,23
PF00076,0
PF00077,3
PF00070,0
PF00071,60
PF00072,52
PF00073,49
PF06552,5
PF00078,69
PF06554,10
PF08669,0
PF04777,32
PF00386,32
PF00387,348
PF00385,0
PF00382,0
PF00383,39
PF00380,740
PF00381,1
PF06955,0
PF03459,0
PF00388,109
PF00389,88
PF00478,523
PF00479,558
PF00475,579
PF00476,820
PF01429,3
PF04607,93
PF04603,133
PF03861,0
PF02515,55
PF00494,96
PF00273,172
PF00270,181
PF00271,421
PF00276,0
PF00274,78
PF00275,20
PF06821,21
PF00278,500
PF06827,0
PF06602,225
PF03071,4
PF03952,774
PF02258,0
PF02252,75
PF02250,4
PF02251,0
PF02256,0
PF02257,0
PF02254,197
PF02255,0
PF03671,0
PF00121,41
PF08683,25
PF03810,0
PF03815,12
PF02657,393
PF03497,6
PF03496,22
PF03495,0
PF03492,124
PF02388,25
PF03250,30
PF03709,51
PF03256,8
PF02381,0
PF03705,0
PF02775,323
PF03925,40
PF03921,0
PF00930,35
PF02776,85
PF02771,790
PF02033,809
PF02031,2
PF02036,48
PF02037,0
PF02301,134
PF02302,0
PF05706,2
PF02811,577
PF02812,410
PF02813,0
PF02814,0
PF02815,30
PF02816,194
PF02817,0
PF07938,4
PF01138,159
PF00308,10
PF01131,72
PF01137,172
PF01135,9
PF02728,8
PF00307,122
PF02727,0
PF05899,0
PF04383,115
PF07465,0
PF04386,140
PF04389,56
PF01472,0
PF01397,199
PF01394,0
PF01395,222
PF01392,337
PF01390,206
PF13672,38
PF13673,63
PF13670,0
PF01627,76
PF01624,56
PF01625,711
PF00718,1
PF01620,1
PF00868,223
PF00867,12
PF00866,24
PF00717,0
PF00863,2
PF00710,119
PF00713,0
PF00712,12
PF08526,53
PF08527,76
PF08702,75
PF01408,43
PF01409,44
PF01406,10
PF01402,0
PF01403,220
PF07647,0
PF00669,27
PF00668,21
PF01246,0
PF01241,0
PF04546,215
PF07943,13
PF00665,86
PF00667,11
PF00041,0
PF00043,3
PF00042,67
PF00045,0
PF00044,72
PF00047,3
PF00046,0
PF01187,6
PF04354,109
PF08679,0
PF04760,0
PF08677,2
PF08675,0
PF08672,0
PF08673,0
PF08671,0
PF00445,218
PF00447,258
PF07490,4
PF07497,0
PF00440,0
PF00443,54
PF07499,0
PF06941,3
PF00449,73
PF00448,49
PF07706,0
PF04616,31
PF04612,35
PF00012,27
PF00013,0
PF07831,0
PF07830,0
PF07833,8
PF00011,12
PF07835,0
PF07834,14
PF07837,172
PF07836,0
PF00016,21
PF00285,837
PF00282,9
PF00281,0
PF00280,0
PF06617,24
PF06613,0
PF03066,29
PF00391,0
PF03065,22
PF03063,171
PF03061,0
PF00394,72
PF06723,31
PF00397,0
PF00464,12
PF03391,11
PF03392,0
PF03807,5
PF02238,0
PF01075,13
PF02239,8
PF09081,0
PF02627,0
PF03489,0
PF03484,3
PF03485,0
PF02629,5
PF03487,16
PF03483,301
PF02234,0
PF03718,4
PF03719,0
PF03717,73
PF03711,113
PF03712,62
PF03936,242
